ElectDist,Reported,Total Votes,Zohran Kwame Mamdani,Andrew M. Cuomo,Curtis A. Sliwa,Eric L. Adams,WRITE-IN,Irene Estrada,Jim Walden,Joseph Hernandez,Zohran Kwame Mamdani (%),Andrew M. Cuomo (%),Curtis A. Sliwa (%),Eric L. Adams (%),WRITE-IN (%),Irene Estrada (%),Jim Walden (%),Joseph Hernandez (%)
23001,99.00%,1094,78,662,346,1,0,5,2,0,7.13,60.51,31.63,0.09,0.0,0.46,0.18,0.0
23002,99.00%,1078,75,627,369,1,0,4,1,1,6.96,58.16,34.23,0.09,0.0,0.37,0.09,0.09
23003,99.00%,376,33,184,157,0,1,0,0,1,8.78,48.94,41.76,0.0,0.27,0.0,0.0,0.27
23004,99.00%,1092,102,757,226,3,2,2,0,0,9.34,69.32,20.7,0.27,0.18,0.18,0.0,0.0
23005,99.00%,1091,82,731,274,1,3,0,0,0,7.52,67.0,25.11,0.09,0.27,0.0,0.0,0.0
23006,99.00%,1074,118,660,291,2,1,1,0,1,10.99,61.45,27.09,0.19,0.09,0.09,0.0,0.09
23007,99.00%,1158,148,629,362,4,7,3,1,4,12.78,54.32,31.26,0.35,0.6,0.26,0.09,0.35
23008,50.00%,377,80,167,128,0,0,0,2,0,21.22,44.3,33.95,0.0,0.0,0.0,0.53,0.0
23009,50.00%,229,76,97,55,0,1,0,0,0,33.19,42.36,24.02,0.0,0.44,0.0,0.0,0.0
23010,99.00%,945,164,474,302,0,2,0,3,0,17.35,50.16,31.96,0.0,0.21,0.0,0.32,0.0
23011,99.00%,590,269,234,82,3,0,1,1,0,45.59,39.66,13.9,0.51,0.0,0.17,0.17,0.0
23012,83.33%,172,95,51,23,2,0,0,1,0,55.23,29.65,13.37,1.16,0.0,0.0,0.58,0.0
23013,83.33%,459,208,168,81,0,1,1,0,0,45.32,36.6,17.65,0.0,0.22,0.22,0.0,0.0
23014,99.00%,562,154,269,134,1,1,2,0,1,27.4,47.86,23.84,0.18,0.18,0.36,0.0,0.18
23015,83.33%,500,127,252,116,1,1,1,1,1,25.4,50.4,23.2,0.2,0.2,0.2,0.2,0.2
23016,99.00%,337,101,156,76,2,0,0,2,0,29.97,46.29,22.55,0.59,0.0,0.0,0.59,0.0
23017,99.00%,594,62,318,209,2,1,2,0,0,10.44,53.54,35.19,0.34,0.17,0.34,0.0,0.0
23018,99.00%,633,320,239,69,4,0,0,1,0,50.55,37.76,10.9,0.63,0.0,0.0,0.16,0.0
23019,99.00%,76,45,25,4,0,1,1,0,0,59.21,32.89,5.26,0.0,1.32,1.32,0.0,0.0
23020,99.00%,211,128,68,11,2,1,1,0,0,60.66,32.23,5.21,0.95,0.47,0.47,0.0,0.0
23021,99.00%,373,111,239,16,2,1,2,1,1,29.76,64.08,4.29,0.54,0.27,0.54,0.27,0.27
23022,99.00%,161,87,65,9,0,0,0,0,0,54.04,40.37,5.59,0.0,0.0,0.0,0.0,0.0
