ElectDist,Reported,Zohran Kwame Mamdani (Democratic),Scott M. Stringer (Democratic),Selma K. Bartholomew (Democratic),Zellnor Myrie (Democratic),Adrienne E. Adams (Democratic),Andrew M. Cuomo (Democratic),Jessica Ramos (Democratic),Whitney R. Tilson (Democratic),Michael Blake (Democratic),Brad Lander (Democratic),Paperboy Love Prince (Democratic),WRITE-IN
23001,99.00%,31,7,0,1,0,121,0,4,3,23,7,1
23002,99.00%,25,6,1,0,6,108,0,5,1,14,1,1
23003,99.00%,10,3,0,0,2,25,1,2,0,5,0,1
23004,75.00%,42,8,0,1,3,158,0,3,1,25,3,0
23005,75.00%,37,7,0,0,0,170,1,6,1,32,3,1
23006,75.00%,43,11,1,0,5,158,0,2,0,15,3,0
23007,75.00%,50,16,0,1,3,129,0,6,2,27,3,2
23008,99.00%,67,6,1,0,12,94,0,3,0,32,1,0
23009,99.00%,83,3,0,1,9,70,2,1,1,12,1,0
23010,83.33%,59,12,0,1,19,106,1,2,2,14,3,0
23011,83.33%,69,1,1,1,9,72,1,2,1,6,1,0
23012,83.33%,28,0,0,0,7,35,2,2,0,7,0,1
23013,83.33%,86,4,0,5,14,65,0,1,1,19,2,1
23014,83.33%,32,6,2,0,12,97,0,0,0,6,0,1
23015,99.00%,56,9,0,0,17,114,0,0,4,7,2,0
23016,99.00%,41,3,0,0,13,60,1,0,0,10,2,1
23017,99.00%,21,3,0,0,2,59,0,2,0,9,0,2
23018,99.00%,127,7,0,2,22,104,2,3,5,31,0,0
23019,99.00%,14,1,1,0,2,15,0,0,0,2,0,1
23020,99.00%,25,0,0,1,7,52,0,0,0,1,0,0
23021,99.00%,14,3,2,0,7,115,1,0,0,1,0,0
23022,99.00%,17,0,0,0,11,61,0,0,0,1,0,1
23023,99.00%,8,3,0,1,8,78,0,0,0,3,2,0
23024,99.00%,19,0,0,1,12,60,1,0,0,0,0,0
23025,99.00%,31,1,0,2,38,168,3,1,0,1,0,0
23026,99.00%,17,2,0,0,16,111,0,0,0,4,0,0
23027,99.00%,7,2,0,0,23,312,3,4,1,6,0,1
23028,99.00%,28,0,1,0,20,153,1,0,1,1,0,0
23029,99.00%,5,2,1,1,37,364,1,5,0,2,0,0
23030,99.00%,14,5,0,0,29,210,0,3,1,5,1,2
23031,99.00%,48,2,0,0,23,218,0,0,1,2,0,2
23032,99.00%,41,4,1,0,35,243,1,6,0,7,2,2
23033,99.00%,29,1,0,0,1,62,1,0,1,6,1,2
23034,99.00%,41,1,0,0,1,84,0,0,0,4,0,0
23035,99.00%,17,2,0,0,1,83,0,1,0,5,2,0
23036,99.00%,53,1,0,0,5,69,0,2,0,5,2,1
23037,99.00%,72,4,0,1,1,49,0,0,2,9,2,1
23038,99.00%,36,0,0,1,2,67,1,5,0,3,2,1
23039,99.00%,4,0,0,0,1,5,0,0,0,0,0,0
23040,99.00%,71,2,0,1,5,36,1,0,0,0,0,0
23041,99.00%,51,0,0,0,2,69,0,1,0,3,0,0
23042,99.00%,43,2,0,0,0,38,0,0,0,0,0,0
23043,99.00%,2,0,0,0,0,3,0,0,0,0,0,0
23044,99.00%,48,8,0,3,12,170,2,3,1,11,1,0
23045,99.00%,21,5,0,0,9,101,0,2,2,13,0,0
23046,99.00%,147,3,0,0,7,86,0,1,0,8,2,0
23047,99.00%,57,2,0,1,2,54,0,1,0,3,0,0
23048,99.00%,69,1,0,1,2,82,0,1,1,4,0,0
23049,99.00%,86,6,0,1,7,91,0,2,1,6,0,1
23050,99.00%,72,1,0,0,2,21,0,0,0,3,0,0
23051,99.00%,90,1,0,0,2,68,1,0,1,2,1,0
23052,99.00%,73,0,0,0,1,30,0,0,0,4,0,0
23053,99.00%,209,1,0,0,0,52,0,0,1,3,0,0
23054,99.00%,163,0,0,0,2,54,2,0,0,3,0,0
23055,99.00%,42,0,0,0,0,19,1,0,0,0,0,0
23056,99.00%,29,1,0,0,1,30,0,0,2,1,0,0
23057,99.00%,67,1,1,0,0,34,0,0,0,2,1,1
23058,99.00%,31,3,0,0,1,23,0,2,0,0,1,0
23059,99.00%,8,2,0,0,5,32,0,1,0,1,0,0
23060,99.00%,39,2,1,0,8,56,1,0,0,2,0,0
23061,99.00%,0,0,0,0,0,0,0,0,0,0,0,0
23062,99.00%,131,3,0,0,2,71,0,1,0,4,0,0
23063,99.00%,61,1,0,1,0,42,0,0,0,0,0,0
23064,99.00%,31,0,0,0,0,14,2,0,0,0,0,0
23065,99.00%,38,3,0,1,20,104,0,1,0,2,0,0
23066,99.00%,33,2,0,0,21,91,0,0,3,2,1,0
23067,99.00%,0,0,0,0,0,0,0,0,0,0,0,0
23068,99.00%,0,0,0,0,0,0,0,0,0,0,0,0
23069,99.00%,0,0,0,0,0,0,0,0,0,0,0,0
23070,60.00%,0,0,0,0,0,0,0,0,0,0,0,0
23071,99.00%,0,0,0,0,0,0,0,0,0,0,0,0
23072,99.00%,0,0,0,0,0,0,0,0,0,0,0,0
23073,99.00%,0,0,0,0,0,0,0,0,0,0,0,0
23074,99.00%,0,0,0,0,0,0,0,0,0,0,0,0
24001,99.00%,27,1,0,1,0,27,0,0,0,0,0,0
24002,99.00%,46,0,0,0,0,44,0,0,0,0,0,0
24003,99.00%,101,0,0,1,2,72,1,0,0,3,0,0
24004,99.00%,70,0,0,1,0,50,1,0,0,0,0,0
24005,99.00%,62,0,1,0,4,63,0,0,0,0,0,0
24006,99.00%,104,1,0,0,5,70,1,0,0,0,3,0
24007,99.00%,77,0,0,0,3,62,1,0,0,3,0,0
24008,99.00%,92,2,0,0,3,64,0,0,0,1,0,1
24009,99.00%,55,1,0,0,6,60,0,0,0,0,2,0
24010,99.00%,87,2,0,0,21,88,0,0,0,2,1,0
24011,99.00%,61,0,0,0,5,58,0,0,0,1,0,0
24012,99.00%,76,0,0,0,5,41,1,2,0,0,0,0
24013,99.00%,91,1,0,0,16,79,1,1,0,1,1,0
24014,99.00%,71,2,2,1,3,55,0,0,0,1,0,0
24015,99.00%,62,0,1,0,2,52,2,0,0,3,0,0
24016,99.00%,43,0,0,0,4,54,0,0,0,2,0,0
24017,99.00%,37,1,0,0,0,8,0,0,0,1,0,0
24018,99.00%,58,2,0,1,2,41,0,1,0,2,0,0
24019,99.00%,87,4,0,0,2,47,0,0,1,7,0,0
24020,99.00%,30,1,0,0,1,20,1,0,0,0,0,0
24021,99.00%,60,4,0,0,10,70,1,1,1,5,0,0
24022,99.00%,9,1,0,0,0,12,0,3,0,5,0,0
24023,99.00%,43,1,0,1,2,53,0,0,0,0,0,0
24024,99.00%,65,4,0,1,8,88,1,0,0,8,0,0
