ElectDist,Reported,Total Votes,Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Whitney R. Tilson,Michael Blake,Jessica Ramos,Paperboy Love Prince,WRITE-IN,Selma K. Bartholomew,Zohran Kwame Mamdani (%),Andrew M. Cuomo (%),Brad Lander (%),Adrienne E. Adams (%),Scott M. Stringer (%),Zellnor Myrie (%),Whitney R. Tilson (%),Michael Blake (%),Jessica Ramos (%),Paperboy Love Prince (%),WRITE-IN (%),Selma K. Bartholomew (%)
23001,99.00%,198,31,121,23,0,7,1,4,3,0,7,1,0,15.66,61.11,11.62,0.0,3.54,0.51,2.02,1.52,0.0,3.54,0.51,0.0
23002,99.00%,168,25,108,14,6,6,0,5,1,0,1,1,1,14.88,64.29,8.33,3.57,3.57,0.0,2.98,0.6,0.0,0.6,0.6,0.6
23003,99.00%,49,10,25,5,2,3,0,2,0,1,0,1,0,20.41,51.02,10.2,4.08,6.12,0.0,4.08,0.0,2.04,0.0,2.04,0.0
23004,75.00%,244,42,158,25,3,8,1,3,1,0,3,0,0,17.21,64.75,10.25,1.23,3.28,0.41,1.23,0.41,0.0,1.23,0.0,0.0
23005,75.00%,258,37,170,32,0,7,0,6,1,1,3,1,0,14.34,65.89,12.4,0.0,2.71,0.0,2.33,0.39,0.39,1.16,0.39,0.0
23006,75.00%,238,43,158,15,5,11,0,2,0,0,3,0,1,18.07,66.39,6.3,2.1,4.62,0.0,0.84,0.0,0.0,1.26,0.0,0.42
23007,75.00%,239,50,129,27,3,16,1,6,2,0,3,2,0,20.92,53.97,11.3,1.26,6.69,0.42,2.51,0.84,0.0,1.26,0.84,0.0
23008,99.00%,216,67,94,32,12,6,0,3,0,0,1,0,1,31.02,43.52,14.81,5.56,2.78,0.0,1.39,0.0,0.0,0.46,0.0,0.46
23009,99.00%,183,83,70,12,9,3,1,1,1,2,1,0,0,45.36,38.25,6.56,4.92,1.64,0.55,0.55,0.55,1.09,0.55,0.0,0.0
23010,83.33%,219,59,106,14,19,12,1,2,2,1,3,0,0,26.94,48.4,6.39,8.68,5.48,0.46,0.91,0.91,0.46,1.37,0.0,0.0
23011,83.33%,164,69,72,6,9,1,1,2,1,1,1,0,1,42.07,43.9,3.66,5.49,0.61,0.61,1.22,0.61,0.61,0.61,0.0,0.61
23012,83.33%,82,28,35,7,7,0,0,2,0,2,0,1,0,34.15,42.68,8.54,8.54,0.0,0.0,2.44,0.0,2.44,0.0,1.22,0.0
23013,83.33%,198,86,65,19,14,4,5,1,1,0,2,1,0,43.43,32.83,9.6,7.07,2.02,2.53,0.51,0.51,0.0,1.01,0.51,0.0
23014,83.33%,156,32,97,6,12,6,0,0,0,0,0,1,2,20.51,62.18,3.85,7.69,3.85,0.0,0.0,0.0,0.0,0.0,0.64,1.28
23015,99.00%,209,56,114,7,17,9,0,0,4,0,2,0,0,26.79,54.55,3.35,8.13,4.31,0.0,0.0,1.91,0.0,0.96,0.0,0.0
23016,99.00%,131,41,60,10,13,3,0,0,0,1,2,1,0,31.3,45.8,7.63,9.92,2.29,0.0,0.0,0.0,0.76,1.53,0.76,0.0
23017,99.00%,98,21,59,9,2,3,0,2,0,0,0,2,0,21.43,60.2,9.18,2.04,3.06,0.0,2.04,0.0,0.0,0.0,2.04,0.0
23018,99.00%,303,127,104,31,22,7,2,3,5,2,0,0,0,41.91,34.32,10.23,7.26,2.31,0.66,0.99,1.65,0.66,0.0,0.0,0.0
23019,99.00%,36,14,15,2,2,1,0,0,0,0,0,1,1,38.89,41.67,5.56,5.56,2.78,0.0,0.0,0.0,0.0,0.0,2.78,2.78
23020,99.00%,86,25,52,1,7,0,1,0,0,0,0,0,0,29.07,60.47,1.16,8.14,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0
23021,99.00%,143,14,115,1,7,3,0,0,0,1,0,0,2,9.79,80.42,0.7,4.9,2.1,0.0,0.0,0.0,0.7,0.0,0.0,1.4
23022,99.00%,91,17,61,1,11,0,0,0,0,0,0,1,0,18.68,67.03,1.1,12.09,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0
23023,99.00%,103,8,78,3,8,3,1,0,0,0,2,0,0,7.77,75.73,2.91,7.77,2.91,0.97,0.0,0.0,0.0,1.94,0.0,0.0
